,Unnamed: 0,Match Type,Distance Score,Mill Name Score,Mill Company Score,idx,Consumer Company,Country,District,Latitude,Longitude,Mill Name,Consumer Mill Name,Mill Company,Consumer Mill Company,Parent Company,Consumer Parent Company,Province,RSPO,UMLID
17020,17020,Mill Name,,100,100,707.0,nestle,indonesia,pasaman barat,-0.050617,99.9735,andalas agro industri,andalas agro industri,andalas agro industri,andalas agro industri,tsh resources,bunge loders croklaan,sumatera barat,"rspo certified, mb",po1000004340
17023,17023,Mill Name,,100,100,300.0,nestle,indonesia,ogan komering ilir,-2.7866,105.0989,andira agro,andira agro,andira agro,andira agro,meta epsi,bunge loders croklaan,sumatera selatan,,po1000004080
17025,17025,Mill Company,,47,100,1038.0,nestle,indonesia,barito utara,-1.1395,115.0302,pandran raya,antang ganda utama,antang ganda utama,antang ganda utama,makin,bunge loders croklaan,kalimantan tengah,,po1000008581
17026,17026,Mill Company,,25,100,3300.0,nestle,indonesia,barito utara,-1.115694,114.887194,butong,antang ganda utama,antang ganda utama,antang ganda utama,makin,bunge loders croklaan,kalimantan tengah,,po1000004116
17051,17051,Mill Name,,100,100,140.0,nestle,indonesia,palembang,-2.87834,104.727277,banyuasin nusantara sejahtera,banyuasin nusantara sejahtera,banyuasin nusantara sejahtera,banyuasin nusantara sejahtera,unknown,bunge loders croklaan,sumatera selatan,,po1000007640
17060,17060,Mill Name,,100,100,187.0,nestle,indonesia,musi banyuasin,-2.3192778,103.71163890000001,berkat sawit sejati,berkat sawit sejati,berkat sawit sejati,berkat sawit sejati,musim mas,bunge loders croklaan,sumatera selatan,"rspo certified, ip",po1000000180
17064,17064,Mill Name,,100,100,1673.0,nestle,indonesia,indragiri hilir,0.1159722,103.5491389,mandah factory,mandah,bhumireksa nusa sejati,bhumireksa nusa sejati,sime darby,bunge loders croklaan,riau,"rspo certified, ip",po1000001381
17069,17069,Mill Name,,100,100,26.0,nestle,indonesia,musi rawas,-2.985722,103.406028,sungai pinang,sungai pinang,bina sains cemerlang,bina sains cemerlang,sime darby,bunge loders croklaan,sumatera selatan,"rspo certified, ip",po1000000316
17083,17083,Mill Company,,24,98,640.0,nestle,indonesia,ogan komering ilir,-3.948633,104.95736699999999,dabuk rejo,buluh cawang plantation,buluh cawang plantations,buluh cawang plantation,wilmar,bunge loders croklaan,sumatera selatan,"rspo certified, mb",po1000000953
17088,17088,Mill Name,,100,100,46.0,nestle,indonesia,muara enim,-3.851717,103.80405,bumi sawindo permai,bumi sawindo permai,bumi sawindo permai,bumi sawindo permai,bukit asam,bunge loders croklaan,sumatera selatan,,po1000004868
17096,17096,Mill Company,,32,100,3221.0,nestle,indonesia,kotawaringin barat,-2.505465,111.36013500000001,lamandau,bumitama gunajaya abadi,bumitama gunajaya abadi,bumitama gunajaya abadi,bumitama gunajaya agro (bga),bunge loders croklaan,kalimantan tengah,,po1000008609
17097,17097,Mill Company,,32,100,,nestle,indonesia,,-2.1404,110.5158,EMPTY,bumitama gunajaya abadi,EMPTY,bumitama gunajaya abadi,golden agri,bunge loders croklaan,,,po1000008437
17111,17111,Mill Name,,100,100,7.0,nestle,indonesia,muara enim,-3.50741388888889,103.702225,cipta futura,cipta futura,cipta futura,cipta futura,unknown,bunge loders croklaan,sumatera selatan,,po1000009358
17153,17153,Mill Name,,100,100,186.0,nestle,indonesia,pasaman barat,0.120549,99.718255,gersindo minang plantation,gersindo minang plantation,gersindo minang plantation,gersindo minang plantation,wilmar,bunge loders croklaan,sumatera barat,"rspo certified, mb",po1000002133
17155,17155,Mill Name,,98,100,69.0,nestle,indonesia,banyu asin,-3.067688,104.204637,golden blossom sumatera,golden blossom sumatra,golden blossom sumatra,golden blossom sumatra,gozco plantations,bunge loders croklaan,sumatera selatan,,po1000008434
17156,17156,Mill Name,,100,100,69.0,nestle,indonesia,ogan ilir,-3.1192,104.69451600000001,golden oilindo nusantara,golden oilindo nusantara,golden oilindo nusantara,golden oilindo nusantara,unknown,bunge loders croklaan,sumatera selatan,,po1000007509
17194,17194,Mill Company,,82,100,69.0,nestle,indonesia,ogan ilir,-3.181898,104.5871203,agro indralaya mandiri,indralaya agro lestari,agro indralaya mandiri,indralaya,unknown,bunge loders croklaan,sumatera selatan,,po1000010076
17195,17195,Mill Name,,100,100,69.0,nestle,indonesia,muara enim,-3.07425,104.5885,indralaya agro lestari,indralaya agro lestari,indralaya agro lestari,indralaya,unknown,bunge loders croklaan,sumatera selatan,,po1000008143
17251,17251,Mill Name,,100,100,220.0,nestle,indonesia,kotawaringin timur,-1.922451,112.293768,karya makmur sejahtera,karya makmur sejahtera,karya makmur sejahtera,karya makmur sejahtera,goodhope,bunge loders croklaan,kalimantan tengah,,po1000004850
17253,17253,Mill Name,,100,100,187.0,nestle,indonesia,banyu asin,-2.8485669999999996,104.26545,karya sawit lestari,karya sawit lestari,karya sawit lestari,karya sawit lestari,unknown,bunge loders croklaan,sumatera selatan,,po1000004139
17256,17256,Mill Company,,76,100,25.0,nestle,indonesia,kutai timur,0.9918530000000001,116.75369199999999,karyanusa eka daya 1,karyanusa ekadaya,karyanusa ekadaya,karyanusa ekadaya,astra agro lestari,bunge loders croklaan,kalimantan timur,,po1000008274
17257,17257,Mill Company,,76,100,25.0,nestle,indonesia,kutai timur,0.9123370000000001,116.734274,karyanusa eka daya 2,karyanusa ekadaya,karyanusa ekadaya,karyanusa ekadaya,astra agro lestari,bunge loders croklaan,kalimantan timur,,po1000008659
17263,17263,Mill Name,,90,76,1059.0,nestle,indonesia,bengkulu utara,-3.3635832999999997,101.82688890000001,kencana ketara kewala,kencana ketara kelawa,kencana katara kewala,kencana ketara kelawa,unknown,bunge loders croklaan,bengkulu,,po1000005204
17266,17266,Mill Name,,100,100,356.0,nestle,indonesia,solok selatan,-1.4677799999999999,101.514439,kencana sawit indonesia,kencana sawit indonesia,kencana sawit indonesia,kencana sawit indonesia,wilmar,bunge loders croklaan,sumatera barat,"rspo certified, mb",po1000000561
17273,17273,Mill Name,,100,100,395.0,nestle,indonesia,lamandau,-2.2203169999999997,111.458467,khatulistiwa sinergi omnidaya,khatulistiwa sinergi omnidaya,khatulistiwa sinergi omnidaya,khatulistiwa sinergi omnidaya,unknown,bunge loders croklaan,kalimantan tengah,,po1000010007
17279,17279,Mill Name,,100,100,1047.0,nestle,indonesia,kotawaringin timur,-2.06215,112.315367,sukamandang,sukamandang,kridatama lancar,kridatama lancar,sime darby,bunge loders croklaan,kalimantan tengah,"rspo certified, ip",po1000000322
17292,17292,Mill Name,,100,100,278.0,nestle,indonesia,kota baru,-2.373611,116.329722,bebunga,bebunga,langgeng muara makmur,langgeng muara makmur,sime darby,bunge loders croklaan,kalimantan selatan,"rspo certified, ip",po1000000324
17315,17315,Mill Company,,67,100,301.0,nestle,indonesia,ogan komering ulu,-4.049583,104.198233,sei ogan,minanga ogan senm,minanga ogan,minanga ogan,minanga,bunge loders croklaan,sumatera selatan,,po1000004561
17316,17316,Mill Company,,48,100,301.0,nestle,indonesia,ogan komering ulu,-4.063333333,104.13027779999999,sei inai,minanga ogan senm,minanga ogan,minanga ogan,minanga,bunge loders croklaan,sumatera selatan,,po1000009588
17324,17324,Mill Name,,100,100,1302.0,nestle,indonesia,mukomuko,-3.133789,101.60162,mitra puding mas,mitra puding mas,mitra puding mas,mitra puding mas,anglo-eastern plantation (aep),bunge loders croklaan,bengkulu,,po1000004942
17328,17328,Mill Name,,100,100,8103.0,nestle,indonesia,mukomuko,-2.75669812030527,101.39194937895999,muko panen raya abadi,muko panen raya abadi,muko panen raya abadi,muko panen raya abadi,unknown,bunge loders croklaan,bengkulu,,po1000010251
17341,17341,Mill Company,,23,100,1592.0,nestle,indonesia,musi banyuasin,-2.6270330000000004,103.818533,selabu,musi banyuasin indah,musi banyuasin indah,musi banyuasin indah,wilmar,bunge loders croklaan,sumatera selatan,,po1000004223
17347,17347,Mill Name,,100,100,1332.0,nestle,indonesia,agam,-0.320317,99.877317,mutiara agam,mutiara agam,mutiara agam,mutiara agam,provident agro,bunge loders croklaan,sumatera barat,,po1000004373
17366,17366,Mill Name,,100,100,7982.0,nestle,indonesia,tanjung jabung t,-1.29917637,103.48658039999901,palma gemilang kencana,palma gemilang kencana,palma gemilang kencana,palma gemilang kencana,unknown,bunge loders croklaan,jambi,,po1000010016
17372,17372,Mill Name,,100,100,160.0,nestle,indonesia,kota baru,-2.481389,116.5125,pondok labu,pondok labu,paripurna swakarsa,paripurna swakarsa,sime darby,bunge loders croklaan,kalimantan selatan,"rspo certified, ip",po1000000327
18260,18260,Mill Name,,100,35,89.0,nestle,indonesia,rokan hulu,1.139364,100.40855,tambusai timur,timur,torus ganda,perkebunan nusantara iv,torganda,bunge loders croklaan,riau,,po1000004252
19030,19030,Mill Name,,100,100,229.0,nestle,indonesia,musi banyuasin,-2.739183,103.568533,pinago utama,pinago utama,pinago utama,pinago utama,unknown,bunge loders croklaan,sumatera selatan,,po1000004236
19031,19031,Mill Name,,100,100,126.0,nestle,indonesia,musi banyuasin,-2.2219330000000004,104.1768,pinang witmas sejati,pinang witmas sejati,pinang witmas sejati,pinang witmas sejati,unknown,bunge loders croklaan,sumatera selatan,,po1000004135
19032,19032,Mill Name,,100,100,324.0,nestle,indonesia,bulungan,3.324733,117.17365,pipit mutiara indah,pipit mutiara indah,pipit mutiara indah,pipit mutiara indah,ql resources,bunge loders croklaan,kalimantan timur,,po1000004325
19039,19039,Mill Name,,100,100,398.0,nestle,indonesia,musi banyuasin,-1.8146,103.84815999999901,prosympac agro lestari,prosympac agro lestari,prosympac agro lestari,prosympac agro lestari,unknown,bunge loders croklaan,sumatera selatan,,po1000010011
19049,19049,Mill Name,,100,39,247.0,nestle,indonesia,pelalawan,0.121459,102.33770799999999,mekar sari alam lestari,mekar sari,mekar sari alam lestari,ricky kurniawan kertapersada,darmex agro,bunge loders croklaan,riau,,po1000008622
19063,19063,Mill Company,,30,100,1255.0,nestle,indonesia,bengkulu utara,-3.3097,102.0926,lubuk banyau,sandabi indah lestari,sandabi indah lestari,sandabi indah lestari,guritas lintas samudera,bunge loders croklaan,bengkulu,,po1000006345
19065,19065,Mill Name,,100,100,1040.0,nestle,indonesia,mukomuko,-2.38565,101.162717,sapta sentosa jaya abadi,sapta sentosa jaya abadi,sapta sentosa jaya abadi,sapta sentosa jaya abadi,herfinta,bunge loders croklaan,bengkulu,,po1000004188
19084,19084,Mill Name,,100,100,138.0,nestle,indonesia,gunung mas,-1.5114940000000001,113.46575,mulia sawit agro lestari,sawit mulia,mulia sawit agro lestari,sawit mulia,mulia sawit agro lestari (msal),bunge loders croklaan,kalimantan tengah,,po1000004861
19113,19113,Mill Name,,100,53,132.0,nestle,indonesia,mukomuko,-2.710107,101.34100000000001,karya agro sawitindo,karya agro sawitindo,karya agro sawitindo,sinar jaya agro investama,sinar jaya agro investama (sjai),bunge loders croklaan,bengkulu,,po1000008162
19181,19181,Mill Name,,94,94,187.0,nestle,indonesia,banyu asin,-2.785727,104.362489,sri andal lestari,sri andalan lestari,sri andal lestari,sri andalan lestari,buana sriwijaya sejahtera (bss),bunge loders croklaan,sumatera selatan,,po1000010258
19183,19183,Mill Name,,100,100,252.0,nestle,indonesia,banyu asin,-2.825767,104.7353,sriwijaya palm oil indonesia,sriwijaya palm oil indonesia,sriwijaya palm oil indonesia,sriwijaya palm oil indonesia,sriwijaya palm oil,bunge loders croklaan,sumatera selatan,,po1000004938
19185,19185,Mill Name,,100,100,1.0,nestle,indonesia,kotawaringin timur,-2.381111,112.539722,sukajadi sawit mekar 1,sukajadi sawit mekar 1,sukajadi sawit mekar,sukajadi sawit mekar 1,musim mas,bunge loders croklaan,kalimantan tengah,"rspo certified, ip",po1000000106
19226,19226,Mill Company,,78,98,8.0,nestle,indonesia,muara enim,-3.3609,103.8837,surya bumi agrolanggeng,suryabumi agro langgeng,suryabumi agrolanggeng,suryabumi agro langgeng,gozco plantations,bunge loders croklaan,sumatera selatan,,po1000008343
19229,19229,Mill Name,,100,100,187.0,nestle,indonesia,banyu asin,-2.795475,104.735954,sutopo lestari jaya,sutopo lestari jaya,sutopo lestari jaya,sutopo lestari jaya,unknown,bunge loders croklaan,sumatera selatan,,po1000006231
19230,19230,Mill Name,,100,100,160.0,nestle,indonesia,kota baru,-2.507222,116.20638899999999,selabak,selabak,swadaya andika,swadaya andika,sime darby,bunge loders croklaan,kalimantan selatan,,po1000000328
19240,19240,Mill Company,,32,100,121.0,nestle,indonesia,ogan komering ilir,-3.627,104.86946699999999,burnai timur,tania selatan,tania selatan,tania selatan,wilmar,bunge loders croklaan,sumatera selatan,"rspo certified, mb",po1000000562
19260,19260,Mill Name,,100,100,300.0,nestle,indonesia,banyu asin,-2.8025,104.89694399999999,transpacific agro industry,transpacific agro industry,transpacific agro industry,transpacific agro industry,provident agro,bunge loders croklaan,sumatera selatan,,po1000006232
19285,19285,Mill Name,,100,100,558.0,nestle,indonesia,ogan komering ilir,-3.6716620000000004,105.067917,waimusi agro indah,waimusi agro indah,waimusi agro indah,waimusi agro indah,unknown,bunge loders croklaan,sumatera selatan,,po1000008596
19315,19315,Mill Name,,100,100,331.0,nestle,indonesia,sintang,0.2295,111.6659,agro sukses lestari,agro sukses lestari,agro sukses lestari,agro sukses lestari,incasi raya (gunas),bunge loders croklaan,kalimantan barat,,po1000007547
19362,19362,Mill Name,,100,100,187.0,nestle,indonesia,musi banyuasin,-2.6745080000000003,104.07935,berkat sawit sukamaju,berkat sawit sukamaju,berkat sawit sukamaju,berkat sawit sukamaju,unknown,bunge loders croklaan,sumatera selatan,,po1000010012
19379,19379,Mill Name,,100,100,186.0,nestle,indonesia,pasaman barat,0.332883,99.3828,bintara tani nusantara,bintara tani nusantara,bintara tani nusantara,bintara tani nusantara,incasi raya (gunas),bunge loders croklaan,sumatera barat,,po1000004375
19417,19417,Mill Company,,25,100,3418.0,nestle,indonesia,kayong utara,-1.000083,110.19566699999999,mabali,cipta usaha sejati,cipta usaha sejati,cipta usaha sejati,pasifik agro sentosa (pas),bunge loders croklaan,kalimantan barat,,po1000004318
19418,19418,Mill Company,,25,100,,nestle,indonesia,,0.950833,116.915,EMPTY,cipta usaha sejati,EMPTY,cipta usaha sejati,golden agri,bunge loders croklaan,,,po1000001920
19419,19419,Mill Company,,25,100,,nestle,indonesia,,-1.9096959999999998,110.8593,EMPTY,cipta usaha sejati,EMPTY,cipta usaha sejati,ciliandry anky abadi group,bunge loders croklaan,,,po1000004330
19444,19444,Mill Name,,100,100,151.0,nestle,indonesia,kuantan singingi,-0.34809,101.399069,duta mentari raya,duta mentari raya,duta mentari raya,duta mentari raya,ppa kapital,bunge loders croklaan,riau,,po1000007443
19495,19495,Mill Name,,100,100,6601.0,nestle,indonesia,dharmasraya,-1.320133,101.648567,pangian,pangian,incasi raya,incasi raya,incasi raya (gunas),bunge loders croklaan,sumatera barat,,po1000004451
19497,19497,Mill Name,,100,100,32057.0,nestle,indonesia,pesisir selatan,-2.184183,100.91731700000001,sodetan,sodetan,incasi raya,incasi raya,incasi raya (gunas),bunge loders croklaan,sumatera barat,,po1000004530
19543,19543,Mill Name,,100,100,264.0,nestle,indonesia,kotawaringin timur,-1.7612709999999998,112.597416,gunung makmur,gunung makmur,karya makmur bahagia,karya makmur bahagia,bumitama gunajaya agro (bga),bunge loders croklaan,kalimantan tengah,"rspo certified, mb",po1000001684
19614,19614,Mill Name,,100,100,373.0,nestle,indonesia,bungo,-1.6843,102.2347,megasawindo perkasa,megasawindo perkasa,megasawindo perkasa,megasawindo perkasa,incasi raya (gunas),bunge loders croklaan,jambi,,po1000004100
19647,19647,Mill Name,,91,100,1.0,nestle,indonesia,seruyan,-2.39805,112.22478999999998,musirawas citraharpindo pks 1,musirawas citra harpindo 1,musirawas citra harpindo,musirawas citra harpindo 1,musirawas,bunge loders croklaan,kalimantan tengah,,po1000004192
19649,19649,Mill Name,,91,100,529.0,nestle,indonesia,seruyan,-2.451667,112.2161,musirawas citraharpindo pks 2,musirawas citra harpindo 2,musirawas citra harpindo,musirawas citra harpindo 2,musirawas,bunge loders croklaan,kalimantan tengah,,po1000008170
19672,19672,Mill Name,,100,100,225.0,nestle,indonesia,way kanan,-4.372722,104.599806,palm lampung persada,palm lampung persada,palm lampung persada,palm lampung persada,unknown,bunge loders croklaan,lampung,,po1000008417
19681,19681,Mill Name,,100,100,3109.0,nestle,indonesia,aceh tamiang,4.3550376587800015,98.15237609829992,parasawita,parasawita,parasawita,parasawita,parasawita,bunge loders croklaan,aceh,,po1000010064
19683,19683,Mill Name,,94,94,201.0,nestle,indonesia,pasaman barat,0.36228299999999997,99.6336,pasaman marama sejahtera,pasamanan marahma sejahtera,pasaman marama sejahtera,pasamanan marahma sejahtera,incasi raya (gunas),bunge loders croklaan,sumatera barat,,po1000004378
21489,21489,Mill Name,,100,100,158.0,nestle,indonesia,kotawaringin timur,-2.58287,112.62698,sapta karya damai,sapta karya damai,sapta karya damai,sapta karya damai,asam jawa,bunge loders croklaan,kalimantan tengah,,po1000004214
21519,21519,Mill Name,,100,100,356.0,nestle,indonesia,dharmasraya,-1.250283,101.575733,selago makmur plantation,selago makmur plantation,selago makmur plantation,selago makmur plantation,incasi raya (gunas),bunge loders croklaan,sumatera barat,,po1000004447
21608,21608,Mill Name,,100,100,766.0,nestle,indonesia,hulu sungai selatan,-2.652773,114.970661,subur agro makmur,subur agro makmur,subur agro makmur,subur agro makmur,astra agro lestari,bunge loders croklaan,kalimantan selatan,,po1000004228
21612,21612,Mill Company,,86,98,1041.0,nestle,indonesia,penajam paser utara,-1.3812010000000001,116.474659,sukses tani subur,sukes tani nusasubur,sukses tani nusasubur,sukes tani nusasubur,astra agro lestari,bunge loders croklaan,kalimantan timur,,po1000006198
21618,21618,Mill Name,,100,100,52.0,nestle,indonesia,dharmasraya,-0.997233,101.7423,sumbar andalas kencana,sumbar andalas kencana,sumbar andalas kencana,sumbar andalas kencana,incasi raya (gunas),bunge loders croklaan,sumatera barat,,po1000004426
21698,21698,Mill Name,,100,100,268.0,nestle,indonesia,kotawaringin timur,-1.860408333,112.72129720000001,uni primacom pks 2,uni primacom,uni primacom,uni primacom,musirawas,bunge loders croklaan,kalimantan tengah,,po1000009022
21706,21706,Mill Company,,34,100,268.0,nestle,indonesia,kotawaringin timur,-1.798,112.98541000000002,sungai cempaga,windu nabatindo abadi,windu nabatindo abadi,windu nabatindo abadi,bumitama gunajaya agro (bga),bunge loders croklaan,kalimantan tengah,,po1000009211
21707,21707,Mill Name,,100,100,71.0,nestle,indonesia,kotawaringin timur,-2.091944,113.03333300000001,katari agro,katari agro,windu nabatindo lestari,windu nabatindo lestari,bumitama gunajaya agro (bga),bunge loders croklaan,kalimantan tengah,"rspo certified, mb",po1000005104
21787,21787,Mill Name,,100,100,248.0,nestle,indonesia,bungo,-1.6920279999999999,102.160547,budi nabati perkasa,budi nabati perkasa,budi nabati perkasa,budi nabati perkasa,sungai budi,cargill,jambi,,po1000007486
21802,21802,Mill Name,,100,100,484.0,nestle,indonesia,kampar,0.1621,101.0549,ciliandra perkasa,ciliandra perkasa,ciliandra perkasa,ciliandra perkasa,first resources,cargill,riau,,po1000004160
21834,21834,Mill Name,,100,100,132.0,nestle,indonesia,mukomuko,-2.867818,101.43663000000001,gajah sakti sawit,gajah sakti sawit,gajah sakti sawit,gajah sakti sawit,sinar jaya agro investama (sjai),cargill,bengkulu,,po1000010256
21874,21874,Mill Company,,17,100,2837.0,nestle,indonesia,kotawaringin barat,-2.444722,112.006667,sekunyir,indotruba tengah,indotruba tengah,indotruba tengah,sime darby,cargill,kalimantan tengah,"rspo certified, ip",po1000000321
21875,21875,Mill Company,,17,100,,nestle,indonesia,,0.349381,101.974275,EMPTY,indotruba tengah,EMPTY,indotruba tengah,kuala lumpur kepong bhd,cargill,,,po1000001417
21889,21889,Mill Name,,100,100,248.0,nestle,indonesia,bungo,-1.444495,101.751319,jamika raya,jamika raya,jamika raya,jamika raya,incasi raya (gunas),cargill,jambi,,po1000004464
21941,21941,Mill Company,,34,100,66.0,nestle,indonesia,ketapang,-1.716225,110.35436899999999,limpah sejahtera,sungai melayu,limpah sejahtera,limpah sejahtera,first resources,cargill,kalimantan barat,,po1000007571
21951,21951,Mill Name,,100,98,232.0,nestle,indonesia,dumai,1.7235,101.37894440000001,meridan sejati surya plantation bangsal aceh,bangsal aceh,meridan sejatisurya plantation,meridan sejati surya plantation,first resources,cargill,riau,,po1000006259
21973,21973,Mill Name,,94,100,233.0,nestle,indonesia,bengkalis,1.39375,101.30525,murini wood indah industri,muriniwood indah industry,muriniwood indah industry,muriniwood indah industry,first resources,cargill,riau,,po1000004257
22000,22000,Mill Company,,22,97,551.0,nestle,indonesia,rokan hulu,1.157186,100.508333,tambusai,panca surya agrindo,pancasurya agrindo,panca surya agrindo,first resources,cargill,riau,,po1000006268
23570,23570,Mill Name,,100,100,105.0,nestle,indonesia,paser,-2.266944,116.015,saraswanti sawit makmur,saraswanti sawit makmur,saraswanti sawit makmur,saraswanti sawit makmur,saraswanti,cargill,kalimantan timur,,po1000006226
23662,23662,Mill Name,,100,100,132.0,nestle,indonesia,mukomuko,-2.5828900000000004,101.31022,surya andalan primatama,surya andalan primatama,surya andalan primatama,surya andalan primatama,sungai budi,cargill,bengkulu,,po1000008168
23665,23665,Mill Name,,100,100,604.0,nestle,indonesia,pekanbaru,0.629583,101.5685,surya intisari raya,surya intisari raya,surya intisari raya,surya intisari raya,first resources,cargill,riau,,po1000004216
23670,23670,Mill Name,,100,100,1731.0,nestle,indonesia,kayong utara,-1.082883,110.38345,swadaya mukti prakarsa,swadaya mukti prakarsa,swadaya mukti prakarsa,swadaya mukti prakarsa,first resources,cargill,kalimantan barat,,po1000004436
23833,23833,Mill Name,,100,100,271.0,nestle,indonesia,kubu raya,-0.298771,109.58032800000001,cipta tumbuh berbuah,cipta tumbuh berbuah,cipta tumbuh berbuah,cipta tumbuh berbuah,unknown,cargill,kalimantan barat,,po1000009025
23858,23858,Mill Name,,100,100,8755.0,nestle,indonesia,tanjung jabung b,-1.050972,102.9062,fortius wajo perkebunan,fortius wajo perkebunan,fortius wajo perkebunan,fortius wajo perkebunan,fortius corp,cargill,jambi,,po1000008601
23871,23871,Mill Company,,76,98,72.0,nestle,indonesia,merangin,-2.0852778,102.436472,graha cipta bangko jaya,grahacipta bangko jaya,grahacipta bangkojaya,grahacipta bangko jaya,mentari,cargill,jambi,,po1000004094
23888,23888,Mill Name,,100,100,229.0,nestle,indonesia,musi banyuasin,-2.670944,104.2026,hamita utama karsa,hamita utama karsa,hamita utama karsa,hamita utama karsa,indonusa agro,cargill,sumatera selatan,,po1000008166
23906,23906,Mill Name,,100,100,27967.0,nestle,indonesia,kutai timur,0.786111,117.9983889,indonesia plantation synergy,indonesia plantation synergy,indonesia plantation synergy,indonesia plantation synergy,ijm plantations berhad,cargill,kalimantan timur,,po1000006145
23982,23982,Mill Name,,100,100,1771.0,nestle,indonesia,sintang,0.81729,111.012219999999,gelatik,gelatik,kiara sawit abadi,kiara sawit abadi,kiara sawit abadi,cargill,kalimantan barat,,po1000010807
25733,25733,Mill Name,,100,100,119.0,nestle,indonesia,kutai kartanegara,0.25854,116.149918,perdana palm oil mill,perdana oil mill,rea kaltim,rea kaltim plantation,rea holdings,cargill,kalimantan timur,"rspo certified, mb",po1000000143
25743,25743,Mill Name,,100,100,102.0,nestle,indonesia,indragiri hilir,-0.9592799999999999,102.77847,risman scham palm indonesia,risman scham palm indonesia,risman scham palm indonesia,risman scham palm indonesia,mentari,cargill,riau,,po1000008225
25748,25748,Mill Name,,100,100,325.0,nestle,indonesia,kapuas,-1.9471939999999999,114.17697199999999,sakti mait jaya langit,sakti mait jaya langit,sakti mait jaya langit,sakti mait jaya langit,mentari,cargill,kalimantan tengah,,po1000008579
25833,25833,Mill Company,,19,100,608.0,nestle,indonesia,indragiri hulu,-0.68269,102.5015,sumber kencana indo palma,ringin,sumber kencana indo palma,sumber kencana indo palma,unknown,cargill,riau,,po1000007448
28598,28598,Mill Name,,100,100,77.0,nestle,indonesia,langkat,3.931867,98.179583,bina rahmad madani,bina rahmad madani,bina rahmad madani,bina rahmad madani,trinity interlink,cargill,sumatera utara,,po1000004841
28611,28611,Mill Name,,94,100,6693.0,nestle,indonesia,aceh jaya,4.6983,95.665483,boswa megapolis,boswa megalopolis,boswa megalopolis,boswa megalopolis,multi agro gemilang plantation,cargill,aceh,,po1000004579
28714,28714,Mill Name,,95,95,8016.0,nestle,indonesia,lahat,-3.55315,103.30196,eka jaya multi perkasa,ekajaya multiperkasa,eka jaya multi perkasa,ekajaya multiperkasa,bbip palm,cargill,sumatera selatan,,po1000004490
28764,28764,Mill Company,,36,100,313.0,nestle,indonesia,rokan hilir,1.5857,100.6765,sungai bangko,gunung mas raya,gunung mas raya,gunung mas raya,salim group,cargill,riau,,po1000002159
28873,28873,Mill Name,,100,100,390.0,nestle,indonesia,kampar,0.42806099999999997,100.921631,bangkinang,bangkinang,johan sentosa,johan sentosa,darmex agro,cargill,riau,,po1000008615
28906,28906,Mill Name,,100,100,689.0,nestle,indonesia,penajam paser utara,-1.280942,116.63698799999999,mariango,mariango,kebun mandiri sejahtera,kebun mandiri sejahtera,salim group,cargill,kalimantan timur,,po1000006309
29012,29012,Mill Company,,39,100,517.0,nestle,indonesia,musi banyuasin,-2.143618,104.198207,muara merang,mentari subur abadi,mentari subur abadi,mentari subur abadi,salim group,cargill,sumatera selatan,,po1000007613
29098,29098,Mill Name,,100,100,103.0,nestle,indonesia,bangka,-1.98953,105.89459,palmindo mitra lestari,palmindo mitra lestari,palmindo mitra lestari,palmindo mitra lestari,samtan,cargill,bangka belitung,,po1000007535
31668,31668,Mill Name,,100,100,1651.0,nestle,indonesia,ketapang,-2.28375,110.86826699999999,siriham,siriham,poliplant sejahtera,poliplant sejahtera,cargill,cargill,kalimantan barat,"rspo certified, mb",po1000004158
31671,31671,Mill Name,,100,69,7192.0,nestle,indonesia,kutai barat,-0.598324,116.1398,pahu makmur,pahu makmur,perusahaan perkebunan london sumatra indonesia,pp london sumatera indonesia tbk,lonsum,cargill,kalimantan timur,,po1000007516
31672,31672,Mill Name,,100,69,6977.0,nestle,indonesia,musi rawas,-2.975562,102.788219,terawas indah,terawas indah,perusahaan perkebunan london sumatra indonesia,pp london sumatera indonesia tbk,lonsum,cargill,sumatera selatan,,po1000004177
31673,31673,Mill Name,,100,69,126.0,nestle,indonesia,musi banyuasin,-2.187319,104.03214799999999,tirta agung,tirta agung,perusahaan perkebunan london sumatra indonesia,pp london sumatera indonesia tbk,lonsum,cargill,sumatera selatan,,po1000004532
31676,31676,Mill Name,,100,100,67.0,nestle,indonesia,belitung,-2.8488700000000002,107.61771499999999,pratama unggul sejahtera,pratama unggul sejahtera,pratama unggul sejahtera,pratama unggul sejahtera,bw (budiono widodo),cargill,bangka belitung,,po1000010077
31712,31712,Mill Company,,25,100,992.0,nestle,indonesia,belitung timur,-2.996917,107.87665,jangkang,sahabat mewah dan makmur,sahabat mewah & makmur,sahabat mewah dan makmur,anj agro,cargill,bangka belitung,"rspo certified, mb",po1000000531
31733,31733,Mill Name,,100,100,421.0,nestle,indonesia,landak,0.22145,109.531167,satria multi sukses,satria multi sukses,satria multi sukses,satria multi sukses,charoen pokphand,cargill,kalimantan barat,,po1000004364
31740,31740,Mill Name,,100,100,9115.0,nestle,indonesia,asahan,2.766889,99.61483299999999,sawit asahan tetap utuh,sawit asahan tetap utuh,sawit asahan tetap utuh,sawit asahan tetap utuh,unknown,cargill,sumatera utara,,po1000008190
